Table with column headers in row 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2012 Poverty and Median Household Income Estimates - Counties, States, and National                             Source:  U.S. Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program      Release date:  December 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State FIPS Code,County FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Under Age 18",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Under Age 18",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Ages 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Ages 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Ages 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Ages 0-4",90% CI Lower Bound,90% CI Upper Bound
01,075,AL,Lamar County,"3,159","2,625","3,693",22.5,18.7,26.3,944,763,"1,125",30.8,24.9,36.7,642,511,773,27.6,22.0,33.2,"33,940","30,990","36,890",.,.,.,.,.,.
01,077,AL,Lauderdale County,"18,344","16,138","20,550",20.2,17.8,22.6,"5,690","4,885","6,495",29.3,25.1,33.5,"3,748","3,146","4,350",26.1,21.9,30.3,"41,536","38,650","44,422",.,.,.,.,.,.
01,079,AL,Lawrence County,"6,697","5,651","7,743",20.0,16.9,23.1,"2,186","1,809","2,563",28.8,23.8,33.8,"1,433","1,141","1,725",25.4,20.2,30.6,"38,524","35,088","41,960",.,.,.,.,.,.
01,081,AL,Lee County,"32,855","30,196","35,514",23.0,21.1,24.9,"6,687","5,457","7,917",21.2,17.3,25.1,"4,551","3,665","5,437",19.6,15.8,23.4,"43,182","40,232","46,132",.,.,.,.,.,.
01,083,AL,Limestone County,"10,786","8,686","12,886",12.8,10.3,15.3,"3,881","3,025","4,737",18.9,14.7,23.1,"2,547","1,955","3,139",16.9,13.0,20.8,"49,616","45,861","53,371",.,.,.,.,.,.
01,085,AL,Lowndes County,"2,862","2,246","3,478",26.6,20.9,32.3,"1,115",868,"1,362",42.8,33.3,52.3,758,582,934,40.9,31.4,50.4,"28,544","25,875","31,213",.,.,.,.,.,.
01,087,AL,Macon County,"6,209","5,114","7,304",33.1,27.3,38.9,"1,882","1,529","2,235",49.0,39.8,58.2,"1,247",989,"1,505",44.8,35.5,54.1,"27,709","25,516","29,902",.,.,.,.,.,.
01,089,AL,Madison County,"42,183","36,831","47,535",12.6,11.0,14.2,"13,621","11,290","15,952",17.4,14.4,20.4,"9,225","7,456","10,994",16.0,12.9,19.1,"57,072","54,679","59,465",.,.,.,.,.,.
01,091,AL,Marengo County,"5,339","4,496","6,182",26.5,22.3,30.7,"1,730","1,402","2,058",36.4,29.5,43.3,"1,149",902,"1,396",32.6,25.6,39.6,"31,888","29,536","34,240",.,.,.,.,.,.
01,093,AL,Marion County,"6,580","5,429","7,731",22.2,18.3,26.1,"1,982","1,586","2,378",30.8,24.7,36.9,"1,420","1,129","1,711",29.3,23.3,35.3,"32,237","29,680","34,794",.,.,.,.,.,.
01,095,AL,Marshall County,"20,075","17,479","22,671",21.5,18.7,24.3,"8,359","7,274","9,444",35.6,31.0,40.2,"5,854","5,061","6,647",34.7,30.0,39.4,"36,960","34,612","39,308",.,.,.,.,.,.
01,097,AL,Mobile County,"85,452","78,207","92,697",21.0,19.2,22.8,"31,097","27,507","34,687",30.9,27.3,34.5,"20,787","18,115","23,459",28.7,25.0,32.4,"39,546","37,309","41,783",.,.,.,.,.,.
01,099,AL,Monroe County,"4,726","3,722","5,730",21.1,16.6,25.6,"1,814","1,396","2,232",33.3,25.6,41.0,"1,206",914,"1,498",29.1,22.0,36.2,"36,221","33,721","38,721",.,.,.,.,.,.
01,101,AL,Montgomery County,"48,003","42,886","53,120",21.7,19.4,24.0,"17,427","14,911","19,943",31.3,26.8,35.8,"11,934","10,099","13,769",30.1,25.5,34.7,"41,430","39,632","43,228",.,.,.,.,.,.
01,103,AL,Morgan County,"19,176","16,383","21,969",16.2,13.8,18.6,"6,572","5,373","7,771",23.3,19.0,27.6,"4,524","3,666","5,382",21.9,17.7,26.1,"44,766","41,286","48,246",.,.,.,.,.,.
01,105,AL,Perry County,"3,449","2,700","4,198",36.6,28.7,44.5,"1,245",970,"1,520",51.2,39.9,62.5,865,668,"1,062",48.3,37.3,59.3,"25,215","22,744","27,686",.,.,.,.,.,.
01,107,AL,Pickens County,"4,455","3,643","5,267",23.4,19.1,27.7,"1,488","1,179","1,797",34.1,27.0,41.2,"1,061",842,"1,280",33.0,26.2,39.8,"31,433","28,751","34,115",.,.,.,.,.,.
01,109,AL,Pike County,"8,369","7,093","9,645",26.7,22.6,30.8,"2,186","1,733","2,639",33.5,26.6,40.4,"1,505","1,187","1,823",32.9,25.9,39.9,"32,411","29,425","35,397",.,.,.,.,.,.
01,111,AL,Randolph County,"5,069","4,203","5,935",22.8,18.9,26.7,"1,796","1,474","2,118",34.8,28.6,41.0,"1,143",895,"1,391",29.3,23.0,35.6,"35,024","32,088","37,960",.,.,.,.,.,.
01,113,AL,Russell County,"13,495","11,504","15,486",23.6,20.1,27.1,"5,344","4,454","6,234",36.5,30.4,42.6,"3,605","2,933","4,277",35.8,29.1,42.5,"34,310","31,744","36,876",.,.,.,.,.,.
01,115,AL,St. Clair County,"13,133","11,268","14,998",15.8,13.6,18.0,"4,158","3,357","4,959",21.0,17.0,25.0,"2,918","2,329","3,507",20.3,16.2,24.4,"50,989","48,054","53,924",.,.,.,.,.,.
01,117,AL,Shelby County,"17,276","14,615","19,937",8.7,7.4,10.0,"6,096","5,060","7,132",12.3,10.2,14.4,"4,224","3,469","4,979",11.4,9.4,13.4,"67,244","63,500","70,988",.,.,.,.,.,.
01,119,AL,Sumter County,"4,608","3,747","5,469",36.5,29.7,43.3,"1,285","1,007","1,563",45.0,35.3,54.7,902,707,"1,097",42.1,33.0,51.2,"24,059","21,735","26,383",.,.,.,.,.,.
01,121,AL,Talladega County,"18,298","15,939","20,657",23.3,20.3,26.3,"6,385","5,499","7,271",34.8,30.0,39.6,"4,404","3,735","5,073",32.5,27.6,37.4,"34,785","32,074","37,496",.,.,.,.,.,.
01,123,AL,Tallapoosa County,"9,551","8,347","10,755",23.5,20.5,26.5,"3,403","2,986","3,820",38.0,33.3,42.7,"2,359","2,046","2,672",36.2,31.4,41.0,"36,463","34,186","38,740",.,.,.,.,.,.
01,125,AL,Tuscaloosa County,"36,795","32,727","40,863",19.5,17.3,21.7,"10,711","9,146","12,276",25.7,21.9,29.5,"7,347","6,257","8,437",24.7,21.0,28.4,"41,495","39,492","43,498",.,.,.,.,.,.
01,127,AL,Walker County,"13,676","11,769","15,583",21.0,18.1,23.9,"4,097","3,390","4,804",28.2,23.3,33.1,"2,710","2,171","3,249",25.2,20.2,30.2,"36,600","33,674","39,526",.,.,.,.,.,.
01,129,AL,Washington County,"3,564","2,941","4,187",21.0,17.3,24.7,"1,174",933,"1,415",28.8,22.9,34.7,827,655,999,26.3,20.8,31.8,"39,173","35,632","42,714",.,.,.,.,.,.
01,131,AL,Wilcox County,"4,126","3,394","4,858",36.5,30.0,43.0,"1,475","1,182","1,768",51.0,40.9,61.1,"1,029",813,"1,245",45.8,36.2,55.4,"22,126","20,016","24,236",.,.,.,.,.,.
01,133,AL,Winston County,"6,288","5,478","7,098",26.4,23.0,29.8,"2,038","1,743","2,333",40.3,34.5,46.1,"1,374","1,157","1,591",35.8,30.2,41.4,"32,663","29,713","35,613",.,.,.,.,.,.
02,000,AK,Alaska,"77,494","74,043","80,945",10.8,10.3,11.3,"28,125","26,359","29,891",15.3,14.3,16.3,"17,409","15,915","18,903",13.5,12.3,14.7,"66,503","65,013","67,993","9,792","8,887","10,697",18.2,16.5,19.9
02,013,AK,Aleutians East Borough,496,384,608,15.7,12.2,19.2,46,35,57,14.4,10.8,18.0,28,20,36,12.6,9.1,16.1,"51,514","46,988","56,040",.,.,.,.,.,.
02,016,AK,Aleutians West Census Area,497,389,605,9.3,7.3,11.3,64,48,80,8.7,6.5,10.9,39,28,50,7.3,5.2,9.4,"69,192","64,655","73,729",.,.,.,.,.,.
02,020,AK,Anchorage Borough,"26,220","23,202","29,238",9.0,8.0,10.0,"9,446","8,103","10,789",12.8,11.0,14.6,"5,698","4,727","6,669",11.1,9.2,13.0,"71,094","67,836","74,352",.,.,.,.,.,.
02,050,AK,Bethel Census Area,"4,820","4,123","5,517",27.6,23.6,31.6,"2,221","1,806","2,636",35.1,28.5,41.7,"1,409","1,114","1,704",32.0,25.3,38.7,"41,722","38,382","45,062",.,.,.,.,.,.
02,060,AK,Bristol Bay Borough,90,70,110,9.3,7.2,11.4,27,20,34,12.0,8.9,15.1,18,13,23,10.7,7.7,13.7,"66,178","60,498","71,858",.,.,.,.,.,.
02,068,AK,Denali Borough,115,90,140,6.2,4.9,7.5,25,19,31,6.4,4.8,8.0,15,11,19,5.3,3.8,6.8,"66,325","59,926","72,724",.,.,.,.,.,.
02,070,AK,Dillingham Census Area,"1,035",824,"1,246",20.7,16.5,24.9,467,359,575,28.8,22.1,35.5,298,218,378,27.9,20.4,35.4,"47,498","43,428","51,568",.,.,.,.,.,.
02,090,AK,Fairbanks North Star Borough,"8,847","7,131","10,563",9.2,7.4,11.0,"3,219","2,456","3,982",13.2,10.1,16.3,"2,076","1,545","2,607",12.5,9.3,15.7,"63,979","59,625","68,333",.,.,.,.,.,.
02,100,AK,Haines Borough,300,238,362,11.8,9.4,14.2,85,64,106,17.6,13.2,22.0,54,39,69,15.0,10.8,19.2,"49,890","45,139","54,641",.,.,.,.,.,.
02,105,AK,Hoonah-Angoon Census Area,373,290,456,17.5,13.6,21.4,108,81,135,25.8,19.4,32.2,69,50,88,23.0,16.7,29.3,"40,371","36,594","44,148",.,.,.,.,.,.
02,110,AK,Juneau Borough,"2,517","2,031","3,003",7.9,6.4,9.4,798,633,963,11.0,8.7,13.3,445,331,559,8.6,6.4,10.8,"76,967","72,109","81,825",.,.,.,.,.,.
02,122,AK,Kenai Peninsula Borough,"5,986","4,931","7,041",10.8,8.9,12.7,"1,908","1,486","2,330",14.8,11.5,18.1,"1,169",871,"1,467",12.6,9.4,15.8,"60,431","56,539","64,323",.,.,.,.,.,.
02,130,AK,Ketchikan Gateway Borough,"1,454","1,167","1,741",10.7,8.6,12.8,487,375,599,15.6,12.0,19.2,294,216,372,13.3,9.8,16.8,"61,296","56,161","66,431",.,.,.,.,.,.
02,150,AK,Kodiak Island Borough,"1,204",955,"1,453",8.6,6.8,10.4,445,340,550,11.8,9.0,14.6,269,198,340,10.3,7.6,13.0,"61,498","55,791","67,205",.,.,.,.,.,.
02,164,AK,Lake and Peninsula Borough,288,227,349,17.5,13.8,21.2,114,88,140,23.5,18.1,28.9,72,53,91,21.5,15.9,27.1,"44,657","40,608","48,706",.,.,.,.,.,.
02,170,AK,Matanuska-Susitna Borough,"9,357","7,934","10,780",10.1,8.6,11.6,"3,236","2,571","3,901",12.6,10.0,15.2,"2,025","1,545","2,505",10.7,8.2,13.2,"68,109","65,123","71,095",.,.,.,.,.,.
02,180,AK,Nome Census Area,"2,770","2,434","3,106",28.6,25.1,32.1,"1,115",934,"1,296",33.3,27.9,38.7,695,558,832,31.1,25.0,37.2,"47,022","43,352","50,692",.,.,.,.,.,.
02,185,AK,North Slope Borough,"1,474","1,192","1,756",15.4,12.5,18.3,419,322,516,17.9,13.7,22.1,260,193,327,16.5,12.3,20.7,"69,138","62,983","75,293",.,.,.,.,.,.
02,188,AK,Northwest Arctic Borough,"1,714","1,392","2,036",22.1,17.9,26.3,767,591,943,27.3,21.0,33.6,496,369,623,27.1,20.1,34.1,"52,945","49,204","56,686",.,.,.,.,.,.
02,195,AK,Petersburg Census Area,416,333,499,10.8,8.6,13.0,134,104,164,15.6,12.0,19.2,82,61,103,13.2,9.8,16.6,"57,728","52,214","63,242",.,.,.,.,.,.
02,198,AK,Prince of Wales-Hyder Census Area,984,774,"1,194",17.2,13.5,20.9,356,270,442,25.2,19.1,31.3,223,162,284,22.8,16.6,29.0,"44,721","40,824","48,618",.,.,.,.,.,.
02,220,AK,Sitka Borough,763,593,933,8.6,6.7,10.5,225,170,280,11.2,8.5,13.9,135,98,172,9.7,7.1,12.3,"61,771","57,037","66,505",.,.,.,.,.,.
02,230,AK,Skagway Municipality,40,31,49,4.2,3.2,5.2,11,8,14,8.3,6.1,10.5,7,5,9,8.1,5.6,10.6,"65,379","58,871","71,887",.,.,.,.,.,.
02,240,AK,Southeast Fairbanks Census Area,906,706,"1,106",12.8,10.0,15.6,340,254,426,18.7,14.0,23.4,217,156,278,16.6,12.0,21.2,"56,456","51,089","61,823",.,.,.,.,.,.
